Country,Fr_political_regime_type,Fr_political_terror_scale,Fr_institutions_WGI_gov,Fr_institutions_VDEM_corrupt,Fr_security_neighbour_conflict,Fr_security_yrsinceconf,Fr_inequality_ethnic,Fr_inequality_social_power,Fr_socialtension_fractions,Fr_economic_gdp,Fr_economic_natural_resource,Fr_number_flags,Fr_at_risk,Fr_in_conflict,Fr_not_at_risk
St. Lucia,.,1.666666627,61.37820435,.,0,69,.,.,0.176899999,9.439740181,0.025164425,0,,,Not At Risk
St. Martin (French part),.,.,.,.,0,69,.,.,.,.,.,0,,,Not At Risk
St. Vincent and the Grenadines,.,1,63.94230652,.,0,69,.,.,0.306600004,9.225512505,0.040323671,0,,,Not At Risk
Sudan,.,4.722222328,6.891025543,0.768999994,1,1,0.752999961,0.787777722,0.714699984,8.355672836,4.661174774,7,,In Conflict,
Suriname,5,2,33.17307663,0.280999988,0,32,0.269999981,-1.007333279,0.733200014,9.517305374,32.18976593,3,,,Not At Risk
Swaziland,-9,2.277777672,32.69231033,0.532333374,0.666666687,69,0,0.369555563,0.058200002,8.943240166,2.841926098,1,,,Not At Risk
Sweden,10,1,95.67308044,0.013,0,69,0,-2.205999851,0.059999999,10.76843071,0.506530881,0,,,Not At Risk
Switzerland,10,1.166666627,99.5192337,0.020333333,0,69,0,-2.279111147,0.531400025,11.04882526,0.01065144,0,,,Not At Risk
Syrian Arab Republic,-9,5,1.923076868,0.912666678,1,1,0.859999955,1.68233335,0.539900005,8.363554001,.,8,,In Conflict,
"Taiwan, China",10,1,87.5,0.277666658,0,61,0.02,-1.608999968,0.274399996,10.7676506,.,0,,,Not At Risk
Tajikistan,-3,3.388888836,13.30128193,0.925000012,1,8,0.15699999,1.424000025,0.510699987,8.145367622,5.234413147,6,At Risk,,
Tanzania,3,3,30.28846169,0.494000018,1,41,0.035999998,-1.473555565,0.735300004,7.802967548,6.680203915,3,,,Not At Risk
Thailand,-3,3.555555582,66.66666412,0.815666676,1,1,0.065000005,-0.528999984,0.63380003,9.718986511,1.649104476,4,,In Conflict,
Timor-Leste,8,1.833333373,15.3846159,0.442000002,0.333333343,69,0,-0.734222233,.,8.857129097,32.08757019,1,,,Not At Risk
Togo,-2,2.333333254,12.66025639,0.817000031,0.333333343,33,0.439999998,-1.02588892,0.709900022,7.344404221,17.12279892,5,At Risk,,
Tonga,.,1,43.75,.,0,69,.,.,0.086900003,8.647312164,0.047273323,0,,,Not At Risk
Trinidad and Tobago,10,2,62.98077011,0.105999999,0,29,0,-1.351666689,0.647499979,10.66510391,6.797833443,1,,,Not At Risk
Tunisia,7,2.77777791,48.71794891,0.229333341,1,3,0,-1.426222205,0.0394,9.29652977,2.372278929,3,,In Conflict,
Turkey,-4,4.388888836,55.12820435,0.763333321,1,1,0.1866,0.323333323,0.319999993,10.17908669,0.342674047,5,,In Conflict,
Turkmenistan,-8,3.111111164,10.57692337,0.90533334,1,69,0.100000001,1.252444386,0.391799986,10.0524025,15.59629536,6,At Risk,,
Turks and Caicos Islands,.,.,.,.,0,69,.,.,.,10.06251335,.,0,,,Not At Risk
Tuvalu,.,1,19.87179565,.,0,69,.,.,0.162900001,8.169303894,0,0,,,Not At Risk
Uganda,-1,3,31.89102745,0.70266664,1,1,0.239000008,-0.841444492,0.930199981,7.493109226,14.11272812,6,,In Conflict,
Ukraine,4,3.77777791,33.9743576,0.781333327,1,1,0.160200015,0.006555554,0.473699987,9.16140461,3.869539738,5,,In Conflict,
United Arab Emirates,-8,2.666666746,90.38461304,0.110333331,0,69,0,0.620999992,0.625199974,11.08543396,12.90805626,3,,,Not At Risk
United Kingdom,10,1.166666627,91.50640869,0.05166667,0,16,0.07,-1.522333384,0.121100001,10.64390564,0.390777171,1,,,Not At Risk
United States,8,2.666666746,92.30769348,0.106666669,0,2,0.0568,-1.328555584,0.490099996,10.93785286,0.425926328,2,,In Conflict,
