Country,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Economic Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS
GRD,3.5,0.1,0,1.7,0.5,3.6,1.7,0,0,0,0.9,2.4,x,0.9,1.9,0,0.1,1.3,0,5.4,2,1,1.5,4.7,5,4.9,2.5,0.6,4.2,2.4,3.8,1.7,Very Low
GTM,9.8,5.1,7.4,4.5,3.8,5.6,6.7,5.5,0,3.9,5.5,6.6,6.1,1.9,5.3,7.1,1,2.4,10,4.1,6,6.6,6,5.5,7,6.3,3.6,4.4,5.4,4.5,5.5,5.7,High
GIN,0.1,5.1,5.2,0,0.7,8.1,3.9,6.8,0,4.8,4.4,9.1,2.2,1.4,5.5,3,4.8,5.6,0.4,3.5,3.8,3.4,4.5,5,6.9,6,7.1,8.3,8.8,8.1,7.2,5.2,High
GNB,0.1,3.3,1.5,0,2,7,2.7,2.7,0,1.9,2.3,9,6.4,3.2,6.9,1.9,5.8,4.9,0.1,5.1,4.3,3.2,5.3,7.8,8.1,8,7.9,8.1,7.2,7.7,7.9,4.6,Medium
GUY,0.1,4.8,6.7,0,4.1,4.9,3.8,0.9,0,0.6,2.3,4.4,6.2,2.1,4.3,6,3.7,2.1,0,1.9,2,4.3,4.3,x,5.9,5.9,4,4.1,5,4.4,5.2,3.7,Medium
HTI,9.7,4.3,6.3,7.2,3.8,7.3,7,8.2,0,5.7,6.4,8.2,6.3,4.5,6.8,1.6,3,3.5,0.5,9,5,3.5,5.4,6.7,8.6,7.7,6.6,5.3,8.3,6.7,7.2,6.3,High
HND,9.4,5.1,7,4.3,4.6,5.9,6.5,3.6,0,2.5,4.8,6.3,5.7,3.3,5.4,7.6,0.9,1.5,10,3.7,5.8,6.8,6.1,5.2,6.9,6.1,4.1,3.9,5,4.3,5.3,5.4,High
HUN,2.3,7.5,0,0,3.6,4.8,3.6,0.1,0,0.1,2,0.9,2.2,0.5,1.1,2.7,0.1,0.3,0.8,1.6,0.7,1.8,1.5,1.4,4.8,3.1,1.8,0.1,1.3,1.1,2.2,1.9,Very Low
ISL,7.5,0.1,0,0,0,2,2.2,0,0,0,1.2,0,0.6,0.2,0.2,2.3,0.1,0.2,0,0.4,0.2,1.3,0.8,x,2.3,2.3,1.4,2.6,0.3,1.4,1.9,1.2,Very Low
IND,8.3,8.4,8.1,7.2,7,7.4,7.8,9.5,0,6.7,7.3,6.6,4.6,0.4,4.6,6.1,3.2,5,2.9,4.3,3.9,5.1,4.9,1.8,5.4,3.6,4.8,4.5,6,5.1,4.4,5.4,High
