"","NH_UKMO_Country","NH_UKMO_TOTAL.RISK.NEXT.12.MONTHS","NH_UKMO_TOTAL.RISK.NEXT.6.MONTHS","NH_UKMO_Temperature","NH_UKMO_Rainfall","NH_UKMO_Tropical.Cyclone","NH_UKMO_Temperature..1.Warmer..5.Near.normal.","NH_UKMO_Rainfall..2.Wetter..3.Drier..5.Near.normal.","NH_UKMO_Tropical.Cyclone..5.TC.forecast.","NH_UKMO_INFORM_RISK_Flood","NH_UKMO_INFORM_RISK_Tropical.Cyclone.1","NH_UKMO_INFORM_RISK_Drought","NH_UKMO_INFORM_RISK_Locust..based.on.FAO.forecasts.","NH_INFORM_RISK_UKMO_Vuln","NH_UKMO_INFORM_OCCURENCExRISK12m_Flood","NH_UKMO_INFORM_OCCURENCExRISK12m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK12m_Drought","NH_UKMO_INFORM_OCCURENCExRISK12m_Locust","NH_UKMO_X","NH_UKMO_INFORM_OCCURENCExRISK6m_Flood","NH_UKMO_INFORM_OCCURENCExRISK6m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK6m_Drought","NH_UKMO_INFORM_OCCURENCExRISK6m_Locust","NH_UKMO_INFORM_OCCURENCExRISK6mplusCLIMATE_Flood","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Tropical.Cyclone","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Drought","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Locust"
"84","DZA",15.6,23.4,"Hot","Wet",NA,1,2,NA,5.2,0,4.1,4,3,15.6,0,12.3,12,"0",15.6,0,0,12,23.4,0,0,18
"85","EGY",31.6,18.1,"Hot","Near-normal",NA,1,5,NA,8.1,0,3.1,0,3.9,31.59,0,12.09,0,"x",0,0,12.09,0,0,0,18.135,0
"86","LBY",25.5,0,"Hot",NA,NA,1,NA,NA,2.6,0,5,0,5.1,13.26,0,25.5,0,"x",0,0,0,0,0,0,0,0
"87","MAR",20.5,30.7,"Hot","Wet",NA,1,2,NA,5.8,0,6.2,0,3.3,19.14,0,20.46,0,"x",19.14,0,20.46,0,28.71,0,30.69,0
"88","TUN",9,13.5,"Hot",NA,NA,1,NA,NA,3.8,0,5.3,0,1.7,6.46,0,9.01,0,"x",6.46,0,9.01,0,6.46,0,13.515,0
"89","ESH",9,0,NA,NA,NA,NA,NA,NA,3.8,0,5.3,0,1.7,6.46,0,9.01,0,"x",0,0,0,0,0,0,0,0
"90","CAN",12,0,NA,NA,NA,NA,NA,NA,5.2,2.6,4.7,0,2.3,11.96,5.98,10.81,0,"x",0,0,0,0,0,0,0,0
"91","USA",22,0,NA,NA,NA,NA,NA,NA,6.4,7.6,4.5,0,2.9,18.56,22.04,13.05,0,"x",0,0,0,0,0,0,0,0
"92","DNK",4.1,0,NA,NA,NA,NA,NA,NA,2.3,0,2.3,0,1.8,4.14,0,4.14,0,"x",0,0,0,0,0,0,0,0
"93","EST",3.2,0,NA,NA,NA,NA,NA,NA,3.6,0,0,0,0.9,3.24,0,0,0,"x",0,0,0,0,0,0,0,0
"94","FIN",0.2,0,NA,NA,NA,NA,NA,NA,0.1,0,0,0,1.6,0.16,0,0,0,"x",0,0,0,0,0,0,0,0
"95","ISL",0.1,0,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0.8,0.08,0,0,0,"x",0,0,0,0,0,0,0,0
"96","IRL",5.1,0,NA,NA,NA,NA,NA,NA,3.9,0,0.5,0,1.3,5.07,0,0.65,0,"x",0,0,0,0,0,0,0,0
"97","LVA",7.2,0,NA,NA,NA,NA,NA,NA,6.5,0,2,0,1.1,7.15,0,2.2,0,"x",0,0,0,0,0,0,0,0
"98","LTU",5.2,0,NA,NA,NA,NA,NA,NA,4.7,0,3.3,0,1.1,5.17,0,3.63,0,"x",0,0,0,0,0,0,0,0
"99","NOR",0.2,0,NA,NA,NA,NA,NA,NA,0.1,0,0,0,2.1,0.21,0,0,0,"x",0,0,0,0,0,0,0,0
"100","SWE",9.9,0,NA,NA,NA,NA,NA,NA,3.2,0,1.5,0,3.1,9.92,0,4.65,0,"x",0,0,0,0,0,0,0,0
"101","GBR",10.6,0,NA,NA,NA,NA,NA,NA,4.8,0,0.5,0,2.2,10.56,0,1.1,0,"x",0,0,0,0,0,0,0,0
"102","BRN",1.8,0,NA,NA,NA,NA,NA,NA,1.4,1.9,2,0,0.9,1.26,1.71,1.8,0,"x",0,0,0,0,0,0,0,0
"103","KHM",40.9,40.9,NA,NA,NA,NA,NA,NA,9.5,4,4.6,0,4.3,40.85,17.2,19.78,0,"0",40.85,17.2,19.78,0,40.85,17.2,19.78,0
"104","IDN",25.9,38.9,"Hot","Wet",NA,1,2,NA,8.1,6.1,3.4,0,3.2,25.92,19.52,10.88,0,"0",25.92,19.52,10.88,0,38.88,19.52,16.32,0
"105","LAO",40,40,NA,NA,NA,NA,NA,NA,9.1,3.3,2.4,0,4.4,40.04,14.52,10.56,0,"0",40.04,14.52,10.56,0,40.04,14.52,10.56,0
"106","MYS",20.5,20.5,NA,NA,NA,NA,NA,NA,6.6,2.9,3.3,0,3.1,20.46,8.99,10.23,0,"x",20.46,8.99,0,0,20.46,8.99,0,0
"107","MMR",52.5,52.5,"Hot","Dry",NA,1,3,NA,9.9,5.6,1,0,5.3,52.47,29.68,5.3,0,"0",52.47,29.68,0,0,52.47,29.68,0,0
"108","PHL",49.4,49.4,NA,NA,NA,NA,NA,NA,7.2,9.5,4.1,0,5.2,37.44,49.4,21.32,0,"0",37.44,49.4,21.32,0,37.44,49.4,21.32,0
"109","SGP",0,0,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0.3,0.03,0,0,0,"x",0,0,0,0,0,0,0,0
"110","THA",28.2,28.2,NA,NA,NA,NA,NA,NA,8.8,4.9,5.7,0,3.2,28.16,15.68,18.24,0,"x",28.16,0,0,0,28.16,0,0,0
"111","TLS",14.8,14.8,NA,NA,NA,NA,NA,NA,1.7,3.6,1.5,0,4.1,6.97,14.76,6.15,0,"0",6.97,14.76,6.15,0,6.97,14.76,6.15,0
"112","VNM",22,22,"Hot","Dry",NA,1,3,NA,10,7.9,3.4,0,2.2,22,17.38,7.48,0,"x",22,17.38,0,0,22,17.38,0,0
"113","AFG",66.4,99.5,"Hot","Wet",NA,1,2,NA,7.2,0,7.9,4,8.4,60.48,0,66.36,33.6,"0",60.48,0,66.36,33.6,90.72,0,99.54,50.4
"114","BGD",58,58,"Hot","Dry",NA,1,3,NA,10,6.9,5,0,5.8,58,40.02,29,0,"0",58,40.02,29,0,58,40.02,43.5,0
"115","BTN",17.9,17.9,NA,NA,NA,NA,NA,NA,5.1,0,0,0,3.5,17.85,0,0,0,"0",17.85,0,0,0,17.85,0,0,0
"116","IND",41.2,45.6,"Hot","Dry",NA,1,3,NA,8.4,7.2,6.2,4,4.9,41.16,35.28,30.38,19.6,"0",41.16,35.28,30.38,19.6,41.16,35.28,45.57,19.6
"117","IRN",45,45,NA,NA,NA,NA,NA,NA,6.4,1.8,5.4,9,5,32,9,27,45,"0",32,0,27,45,32,0,27,45
"118","MDV",0.2,0.2,NA,NA,NA,NA,NA,NA,0.1,0,0,0,1.7,0.17,0,0,0,"x",0.17,0,0,0,0.17,0,0,0
"119","NPL",31.5,31.5,"Hot",NA,NA,1,NA,NA,6.7,0.2,2.8,0,4.7,31.49,0.94,13.16,0,"0",31.49,0,13.16,0,31.49,0,19.74,0
"120","PAK",50.2,75.2,"Hot","Wet",NA,1,2,NA,8.8,3.8,5.5,8,5.7,50.16,21.66,31.35,45.6,"0",50.16,21.66,31.35,45.6,75.24,21.66,47.025,68.4
"121","LKA",18.9,18.9,NA,NA,NA,NA,NA,NA,6.1,3.6,3.5,0,3.1,18.91,11.16,10.85,0,"0",18.91,11.16,10.85,0,18.91,11.16,10.85,0
