"","Countryname","Country","D_WB_external_debt_distress","D_overall_debt_distress","D_debt_date","D_WB_external_debt_distress_norm","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020.2019","D_IMF_debt2020.2019_norm","D_fiscalgdpnum","D_fiscalgdpnum_norm","D_EconomicSupportIndexForDisplay_norm","D_fiscal","D_ratecut","D_reserve_req","D_macrofin","D_othermonetary","D_bopgdp","D_otherbop","D_CESI_Index","D_CESI_Index_norm","D_CPIA.scores","D_CPIA.scores_norm"
"63","United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.09747292418773,NA,8.5,86.6666666666667,100,31.4668367346939,1,0,0,3.6042145234566,0,NA,NA
"64","United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.09747292418773,NA,8.5,86.6666666666667,100,31.4668367346939,1,0,0,3.6042145234566,0,NA,NA
"65","United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,9.09747292418773,NA,8.5,86.6666666666667,100,31.4668367346939,1,0,0,3.6042145234566,0,NA,NA
"66","Georgia","GEO",NA,NA,NA,NA,-0.484,-0.817,-1.8,-7.5,-3.4,-5.7,10,NA,NA,6.25,12.3508948194662,11.1111111111111,0,0.803767660910518,1,3.05180533751962,0,-0.146988076315547,6.87178060511633,4.5,2.38095238095238
"67","Ghana","GHA","High","High","Apr-20",10,-4.061,-6.972,-7.4,-10,-5.4,-2.6,5.2,1.5,9.02527075812274,10,2.58739162455089,9.375,35,5.76994946106713,1,1.49082397841287,0,-0.226158600542211,7.03746546137596,3.5,7.14285714285714
"68","Guinea","GIN","Moderate","Moderate","Jun-20",7,-2.059,-1.063,-0.5,-4.3,-4.1,-3.8,7.6,0.3,9.89169675090253,10,2.94,8.33333333333333,6.25,0,1,0,0,-1.47063237170672,9.64184960444349,4,4.76190476190476
"69","Gambia","GMB","High","High","Apr-20",10,-4.98,-6.197,-2.6,-2.4,-2.1,0.2,0,0.5,9.74729241877256,8.75,3.201269035533,20,13.3333333333333,1.65241116751269,1,4.39819514946419,1,1.22227290561939,4.00624685767906,2.5,10
"70","Guinea-Bissau","GNB","Moderate","…","Jun-18",7,-1.321,-4.844,-4.9,-4.1,-3.9,0.8,0,3.56,7.53790613718412,NA,0.503965517241379,15.55555556,0,3.1,1,0,0,-1.44679050628085,9.59195431721845,3,9.52380952380952
"71","Equatorial Guinea","GNQ",NA,NA,NA,NA,-2.59,0.51,1.7,-4.8,-2.4,-6.5,10,NA,NA,NA,2,11.9047619047619,0,0,1,0,0,-1.56897379204846,9.84765453314449,NA,NA
"72","Greece","GRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,1.25,14,0,0,13.68,1,0,0,-0.68834331534949,8.00470685312173,NA,NA
"73","Grenada","GRD","In distress","In distress","Apr-20",10,3.014,4.581,4.9,-0.4,2,-5.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2.38095238095238
"74","Guatemala","GTM",NA,NA,NA,NA,-1.386,-1.891,-2.3,-4.4,-2.9,-2.2,4.4,NA,NA,3.75,3.4,36.3636363636364,0,1.84461004943555,1,0,0,-0.905060965906915,8.45824474657726,NA,NA
"75","Guyana","GUY","Moderate","Moderate","Sep-19",7,-4.322,-3.543,-4.7,-0.3,-1.7,4.4,0,NA,NA,7.5,40.6258014875609,0,16.6666666666667,0.0024621697871249,1,0,0,0.466324996976666,5.58826392535249,3.5,7.14285714285714
"76","Honduras","HND","Low","Low","Jun-20",3,-0.408,0.198,0.1,0,-0.5,-0.1,0.199999999999999,2.1,8.59205776173285,2.5,2.1,28.5714285714286,0,5.5,1,0,0,-0.995694183688978,8.6479182621596,3.5,7.14285714285714
"77","Croatia","HRV",NA,NA,NA,NA,0.752,0.234,0,-6.5,-2.6,-6.5,10,1,9.38628158844765,3.75,14.0001965851975,83.3333333333333,25,5.98003360680044,1,3.83842377516392,1,3.36114168480841,0,NA,NA
"78","Haiti","HTI","High","High","Apr-20",10,0.268,-1.719,-2.4,-5.1,-3,-2.8,5.6,4,7.22021660649819,5,2.12,13.5692640692641,12.3825317855169,0,1,0,0,-1.27560781275555,9.23371013167189,3.5,7.14285714285714
"79","Hungary","HUN",NA,NA,NA,NA,-2.456,-2.149,-2,-3,-1.6,-0.9,1.8,0.6,9.67509025270758,7.5,6.19561509165004,33.3333333333333,0,17.6049105963957,1,0,1,0.727707180575541,5.04125391194877,NA,NA
"80","Indonesia","IDN",NA,NA,NA,NA,-2.509,-1.75,-2.2,-5,-4,-2.8,5.6,0.2,9.96389891696751,6.25,4.4,20,50,3.23717090909091,1,0,1,0.813898763330433,4.86087566967961,4.5,2.38095238095238
"81","India","IND",NA,NA,NA,NA,-6.361,-6.27,-7.4,-7.4,-7.3,0,0,5.6,6.06498194945848,5,7,26.9813750743016,33.3333333333333,10.8,1,0.147112909157779,1,1.09023739596954,4.28256540743214,4.5,2.38095238095238
"82","Ireland","IRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,17.0988526643932,0,100,15.2530825583208,1,0,0,1.56234270958757,3.29456258958713,NA,NA
"83","Iran","IRN",NA,NA,NA,NA,-1.817,-1.897,-5.6,-9.8,-7.7,-4.2,8.4,7,5.05415162454874,10,8.6,0,0,4.46,1,0.54525627044711,0,-1.15921300405724,8.99012380536018,NA,NA
"84","Iraq","IRQ",NA,NA,NA,NA,-1.619,7.893,-0.8,-22.3,-14.7,-21.5,10,NA,NA,5,0.148509552776638,0,13.3333333333333,1,1,0,0,-1.60672307904475,9.92665470714836,NA,NA
"85","Iceland","ISL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,4.47653429602888,1.25,9.19809348607743,63.6363636363636,50,12,1,1.93293753658333,0,1.93956574347275,2.50512555152801,NA,NA
"86","Israel","ISR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,5.70397111913357,0,12.663025,60,9.12962962962963,7.125,1,3.86880121325606,0,1.57895271943504,3.25980183587317,NA,NA
"87","Italy","ITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7.5812274368231,2.5,12.7203374152635,0,0,64.64,1,0,0,1.21670696196964,4.01789503839487,NA,NA
"88","Jamaica","JAM",NA,NA,NA,NA,0.453,1.181,0.2,-0.9,-0.2,-1.1,2.2,3.5,7.5812274368231,5,1.1,0,0,2.72815471185564,1,0,1,-0.815887989987636,8.27162716583307,NA,NA
"89","Jordan","JOR",NA,NA,NA,NA,-3.644,-4.737,-6.1,-6.7,-5.7,-0.6,1.2,NA,NA,6.25,3.49183041309026,37.5,28.5714285714286,2.16594547303209,1,0,0,-0.28277999854345,7.1559604224829,NA,NA
"90","Japan","JPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,0,2.5,42.2,0,0,16.8091385331781,1,0,0,0.856506797375142,4.77170730727251,NA,NA
