"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_cases_controlled","H_test_and_trace","H_high_vulnerability","H_workplace_prevention","H_manage_imported_cases","H_community_understanding","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","Additional_Deaths_/_1M","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm"
"128","Norway","NOR",64.6,1.08,0.4,0.7,NA,NA,0.8,0.5,0.6,7.5,264,301,56,37,"7",14,274,371,0.77259475218659,-50,7.94271383092813,0,0.52951425539521,9.118,0,1.8236,0
"129","Nepal","NPL",35.1,6.98,0,0.6,NA,NA,1,0.5,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.884758364312,88.0680719396635,9.92565055762082,5.87120479597757,30.511,0.299,6.1022,1.495
"130","Nauru","NRU",20.8,9.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","New Zealand","NZL",54,3.2,1,0.9,NA,NA,1,0.7,0.9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,1.6,0,0.32,0
"132","Oman","OMN",43.1,5.38,0,0.7,NA,NA,0.5,0.7,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.4677195711725,-37.4079164840709,0,0,34.577,1.147,6.9154,5.735
"133","Pakistan","PAK",35.5,6.9,0,0.5,NA,NA,0.5,0.5,0.4,2.5,6284,6847,32,563,"3",9,6351,7723,0.189504373177842,-37.6157407407407,-27.7785793295821,0,0,1.857,0.034,0.3714,0.17
"134","Panama","PAN",43.7,5.26,0,0.4,NA,NA,1,0.8,0.6,7.5,1983,2641,622,658,"155",33,2250,3393,10,-22.9730911635229,-30.1098125413249,0,0,193.919,3.476,10,10
"135","Peru","PER",49.2,4.16,0,0.4,NA,NA,1,0.7,0.5,5,28471,34851,1072,6380,"196",22,30307,42365,10,-62.3970089316624,3.85076955663981,0,0.256717970442654,234.828,5,10,10
"136","Philippines","PHL",47.6,4.48,0,0.6,NA,NA,0.8,0.8,0.6,7.5,3419,7466,69,4047,"37",118,4659,12869,1.08843537414966,41.1030741410488,-3.31472007457884,2.74020494273659,0,33.741,0.591,6.7482,2.955
"137","Palau","PLW",21.9,9.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
