"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"176","Tanzania","TZA",72.5,77.5,79.5454545454545,-5,-7.04545454545455,5.77049180327869,2.46919014084507,6.24600049224711
"177","Uganda","UGA",81,91,89.1818181818182,-10,-8.18181818181819,6.88524590163935,1.36883802816901,7.55045532857495
"178","Ukraine","UKR",97,99.5,97.2727272727273,-2.5,-0.272727272727266,8.98360655737705,9.02728873239438,8.64570514398228
"179","Uruguay","URY",70.5,72.5,78.1363636363636,-2,-7.63636363636363,5.50819672131148,1.89700704225353,6.05525473787841
"180","United States of America","USA",41,48,53.2727272727273,-7,-12.2727272727273,1.63934426229508,0,2.68951513659857
"181","Uzbekistan","UZB",107,107,109.272727272727,0,-2.27272727272728,10,7.0906690140845,10
"182","Saint Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA,NA,NA
"183","Venezuela","VEN",134,132,133.454545454545,2,0.545454545454533,10,9.81954225352112,10
"184","Viet Nam","VNM",48.5,54.5,53.4090909090909,-6,-4.90909090909091,2.62295081967213,4.53785211267606,2.70797440315038
"185","Vanuatu","VUT",NA,NA,NA,NA,NA,NA,NA,NA
"186","Samoa","WSM",NA,NA,NA,NA,NA,NA,NA,NA
"187","Yemen","YEM",136,136,135.090909090909,0,0.909090909090907,10,10,10
"188","South Africa","ZAF",63,63,64.9090909090909,0,-1.90909090909091,4.52459016393443,7.44278169014085,4.26470588235294
"189","Zambia","ZMB",98.5,98.5,97.7272727272727,0,0.77272727272728,9.18032786885246,10,8.70723603248831
"190","Zimbabwe","ZWE",129.5,129.5,132.590909090909,0,-3.09090909090909,10,6.29841549295775,10
